iron_alloy_name,"Elastic (Young's, Tensile) Modulus (psi)",Elongation at Break (%),Shear Modulus (psi),Tensile Strength: Ultimate (UTS) (psi),Tensile Strength: Yield (Proof) (psi),Compressive (Crushing) Strength (psi),Fracture Toughness (MPa·m^0.5),Shear Strength (psi),Impact Strength: V-Notched Charpy (lb),Fatigue Strength (psi),Reduction in Area (%),Latent Heat of Fusion (J/g),Melting Completion (Liquidus) (F),Melting Onset (Solidus) (F),Specific Heat Capacity (F),Thermal Conductivity (F),Thermal Expansion (K),Maximum Temperature: Mechanical (F),Maximum Temperature: Corrosion (F),Curie Temperature (F),Base Metal Price (relative),Embodied Carbon (material),Embodied Energy (BTU/lb),Embodied Water (gal/lb),Calomel Potential (mV),Stiffness to Weight: Axial (points),Stiffness to Weight: Bending (points),Strength to Weight: Axial (points),Strength to Weight: Bending (points),Thermal Diffusivity (/s),Thermal Shock Resistance (points),Brinell Hardness min,Brinell Hardness max,Poisson's Ratio min,Poisson's Ratio max,Rockwell C Hardness min,Rockwell C Hardness max,Rockwell B Hardness min,Rockwell B Hardness max,Density min,Density max,Resilience: Ultimate (Unit Rupture Work) min,Resilience: Ultimate (Unit Rupture Work) max,Resilience: Unit (Modulus of Resilience) min,Resilience: Unit (Modulus of Resilience) max,PREN (Pitting Resistance) min,PREN (Pitting Resistance) max,Iron (Fe)Fe min,Iron (Fe)Fe max,Carbon (C)C min,Carbon (C)C max,Silicon (Si)Si min,Silicon (Si)Si max,Manganese (Mn)Mn min,Manganese (Mn)Mn max,Phosphorus (P)P min,Phosphorus (P)P max,Sulfur (S)S min,Sulfur (S)S max,Chromium (Cr)Cr min,Chromium (Cr)Cr max,Molybdenum (Mo)Mo min,Molybdenum (Mo)Mo max,Nickel (Ni)Ni min,Nickel (Ni)Ni max,Copper (Cu)Cu min,Copper (Cu)Cu max,Vanadium (V)V min,Vanadium (V)V max,Aluminum (Al)Al min,Aluminum (Al)Al max,Magnesium (Mg)Mg min,Magnesium (Mg)Mg max,Selenium (Se)Se min,Selenium (Se)Se max,Tin (Sn)Sn min,Tin (Sn)Sn max,Arsenic (As)As min,Arsenic (As)As max,Residualsres. min,Residualsres. max,Titanium (Ti)Ti min,Titanium (Ti)Ti max,Zirconium (Zr)Zr min,Zirconium (Zr)Zr max,Niobium (Nb)Nb min,Niobium (Nb)Nb max,Nitrogen (N)N min,Nitrogen (N)N max,Cobalt (Co)Co min,Cobalt (Co)Co max,Tungsten (W)W min,Tungsten (W)W max,Calcium (Ca)Ca min,Calcium (Ca)Ca max,Boron (B)B min,Boron (B)B max,Oxygen (O)O min,Oxygen (O)O max,Tantalum (Ta)Ta min,Tantalum (Ta)Ta max,Cerium (Ce)Ce min,Cerium (Ce)Ce max,Lanthanum (La)La min,Lanthanum (La)La max,Zinc (Zn)Zn min,Zinc (Zn)Zn max,Lead (Pb)Pb min,Lead (Pb)Pb max
EN 1.4443 (GX4CrNiMo19-11-3) Cast Stainless Steel,200,34,78,490,210,,,,67,170,,300,1440,1400,470,15,16,1000,420,,20,4.0,54,160,,14,25,17,18,3.9,11,140,140,0.28,0.28,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,140MJ/m3,140MJ/m3,110kJ/m3,110kJ/m3,28,28,60.4,69.5,0,0.050,0,1.5,0,2.0,0,0.040,0,0.030,18,20,2.5,3.0,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.4832 (GX25CrNiSi20-14) Cast Stainless Steel,200,11,77,510,260,,,,,140,,310,1400,1360,480,14,16,950,420,,19,3.6,51,160,,14,25,18,18,3.7,12,150,150,0.28,0.28,,,,,7.8g/cm3480lb/ft3,7.8g/cm3480lb/ft3,48MJ/m3,48MJ/m3,170kJ/m3,170kJ/m3,21,21,58.6,67.4,0.15,0.35,0.5,2.5,0,2.0,0,0.040,0,0.030,19,21,0,0.5,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACI-ASTM CF16Fa Cast Stainless Steel,200,28,77,540,230,,,,,170,,300,1420,1370,480,16,16,980,420,,17,3.3,47,150,,14,25,19,19,4.2,12,160,160,0.28,0.28,,,,,7.8g/cm3480lb/ft3,7.8g/cm3480lb/ft3,120MJ/m3,120MJ/m3,140kJ/m3,140kJ/m3,21,21,62.1,72.4,0,0.16,0,2.0,0,1.5,0,0.040,0.2,0.4,18,21,0.4,0.8,9.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACI-ASTM CN3M (J94652) Cast Stainless Steel,200,34,80,500,190,,,,,150,,310,1450,1400,470,13,16,1100,430,,31,5.9,80,200,,14,24,17,17,3.4,11,140,140,0.28,0.28,,,,,8.1g/cm3500lb/ft3,8.1g/cm3500lb/ft3,130MJ/m3,130MJ/m3,89kJ/m3,89kJ/m3,38,38,42.4,52.5,0,0.030,0,1.0,0,2.0,0,0.030,0,0.030,20,22,4.5,5.5,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.4527 (GX4NiCrCuMo30-20-4) Cast Stainless Steel,200,40,77,480,190,,,,67,170,,310,1410,1360,470,15,15,1100,430,,32,5.6,78,210,,14,24,17,17,4.0,12,140,140,0.28,0.28,,,,,8.1g/cm3500lb/ft3,8.1g/cm3500lb/ft3,150MJ/m3,150MJ/m3,95kJ/m3,95kJ/m3,29,29,37.4,48.5,0,0.060,0,1.5,0,1.5,0,0.040,0,0.030,19,22,2.0,3.0,27.5,30.5,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.4855 (GX40CrNiSiNb24-24) Cast Stainless Steel,200,4.6,77,500,250,,,,,120,,320,1400,1350,480,14,16,1050,610,,34,5.9,85,200,,14,25,18,18,3.7,11,150,150,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,19MJ/m3,19MJ/m3,160kJ/m3,160kJ/m3,25,25,42.6,51.9,0.3,0.5,1.0,2.5,0,2.0,0,0.040,0,0.030,23,25,0,0.5,23,25,,,,,,,,,,,,,,,,,,,,,0.8,1.8,,,,,,,,,,,,,,,,,,,,,,
"ACI-ASTM CK3MCuN (1.4593,J93254) Cast Stainless Steel",200,39,80,620,290,,,,,250,,300,1460,1350,460,12,16,1090,420,,29,5.6,76,190,,14,24,21,20,3.2,14,180,180,0.28,0.28,,,,,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,200MJ/m3,200MJ/m3,210kJ/m3,210kJ/m3,45,45,49.5,56.3,0,0.025,0,1.0,0,1.2,0,0.045,0,0.010,19.5,20.5,6.0,7.0,17.5,19.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,0.18,0.24,,,,,,,,,,,,,,,,,,,,
EN 1.4859 (GX10NiCrSiNb32-20) Cast Stainless Steel,200,23,76,490,210,,,,,140,,310,1410,1360,470,13,16,1050,560,,36,6.2,88,190,,14,24,17,17,3.4,11,140,140,0.28,0.28,,,,,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,91MJ/m3,91MJ/m3,110kJ/m3,110kJ/m3,21,21,40.3,49,0.050,0.15,0.5,1.5,0,2.0,0,0.040,0,0.030,19,21,0,0.5,31,33,,,,,,,,,,,,,,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,
EN 1.3967 (GX2CrNiMnMoNNb21-16-5-3) Cast Stainless Steel,200,22,79,690,350,,,,74,240,,300,1430,1380,470,,16,1070,440,,25,4.8,66,180,,14,25,24,22,,15,200,200,0.28,0.28,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,130MJ/m3,130MJ/m3,310kJ/m3,310kJ/m3,36,36,50.3,57.8,0,0.030,0,1.0,4.0,6.0,0,0.025,0,0.010,20,21.5,3.0,3.5,15,17,,,,,,,,,,,,,,,,,,,,,0,0.25,0.2,0.35,,,,,,,,,,,,,,,,,,,,
EN 1.4865 (GX40NiCrSi38-19) Cast Stainless Steel,200,6.8,76,470,250,,,,,120,,320,1380,1330,480,12,15,1020,410,,33,5.8,81,200,,14,24,16,17,3.1,11,140,140,0.28,0.28,,,,,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,27MJ/m3,27MJ/m3,160kJ/m3,160kJ/m3,20,20,34.4,44.7,0.3,0.5,1.0,2.5,0,2.0,0,0.040,0,0.030,18,21,0,0.5,36,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.4806 (GX40NiCrSi35-17) Cast Stainless Steel,190,6.8,75,470,250,,,,,120,,320,1380,1340,480,12,15,1000,400,,31,5.4,76,190,,14,24,16,17,3.1,11,140,140,0.28,0.28,,,,,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,27MJ/m3,27MJ/m3,160kJ/m3,160kJ/m3,18,18,40.4,48.7,0.3,0.5,1.0,2.5,0,2.0,0,0.040,0,0.030,16,18,0,0.5,34,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACI-ASTM CN3MN (J94651) Cast Stainless Steel,210,39,80,620,300,,,,,250,,310,1460,1410,460,13,16,1100,430,,33,6.2,84,200,,14,24,21,20,3.4,14,180,180,0.28,0.28,,,,,8.1g/cm3500lb/ft3,8.1g/cm3500lb/ft3,200MJ/m3,200MJ/m3,210kJ/m3,210kJ/m3,46,46,41.4,50.3,0,0.030,0,1.0,0,2.0,0,0.040,0,0.010,20,22,6.0,7.0,23.5,25.5,0,0.75,,,,,,,,,,,,,,,,,,,,,0.18,0.26,,,,,,,,,,,,,,,,,,,,
EN 1.4581 (GX5CrNiMoNb19-11-2) Cast Stainless Steel,200,28,78,510,210,,,,45,150,,300,1440,1400,470,15,16,990,490,,21,4.2,59,160,,14,25,18,18,3.9,12,150,150,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,120MJ/m3,120MJ/m3,110kJ/m3,110kJ/m3,26,26,61.4,71,0,0.070,0,1.5,0,1.5,0,0.040,0,0.030,18,20,2.0,2.5,9.0,12,,,,,,,,,,,,,,,,,,,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,
EN 1.4826 (GX40CrNiSi22-10) Cast Stainless Steel,200,9.1,77,500,260,,,,,140,,310,1400,1360,490,14,16,950,430,,17,3.3,47,160,,14,25,18,18,3.7,11,150,150,0.28,0.28,,,,,7.7g/cm3480lb/ft3,7.7g/cm3480lb/ft3,39MJ/m3,39MJ/m3,170kJ/m3,170kJ/m3,23,23,60.4,68.7,0.3,0.5,1.0,2.5,0,2.0,0,0.040,0,0.030,21,23,0,0.5,9.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.3975 (GX3CrNiMnSi17-9-8) Cast Stainless Steel,190,27,76,660,320,,,,,230,,340,1360,1320,500,,16,910,410,,15,3.3,47,150,,14,26,24,22,,15,190,190,0.28,0.28,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,150MJ/m3,150MJ/m3,270kJ/m3,270kJ/m3,21,21,58.2,65.4,0,0.050,3.5,4.5,7.0,9.0,0,0.045,0,0.030,16,18,0,1.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0.080,0.18,,,,,,,,,,,,,,,,,,,,
ACI-ASTM CF3MN (J92804) Cast Stainless Steel,200,39,78,580,290,,,,,250,,300,1440,1390,480,15,16,1010,420,,19,3.9,53,160,,14,25,20,20,4.1,13,170,170,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,190MJ/m3,190MJ/m3,210kJ/m3,210kJ/m3,30,30,58.7,71.9,0,0.030,0,1.5,0,1.5,0,0.040,0,0.040,17,22,2.0,3.0,9.0,13,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,,,,,,,,,,,,,,,,,,,,
"ACI-ASTM CF8C (SCS21,J92710) Cast Stainless Steel",200,40,77,530,260,,,,,220,,300,1420,1430,480,16,17,980,490,,19,3.7,53,150,,14,25,19,19,4.3,11,150,150,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,180MJ/m3,180MJ/m3,170kJ/m3,170kJ/m3,20,20,61.8,73,0,0.080,0,2.0,0,1.5,0,0.040,0,0.040,18,21,0,0.5,9.0,12,,,,,,,,,,,,,,,,,,,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,
"ASTM Grade HP (26Cr-35Ni,N08705) Cast Stainless Steel",200,5.1,78,490,260,,,,,130,,320,1370,1330,480,12,16,1100,440,,34,5.8,82,220,,14,25,17,17,3.2,11,140,140,0.28,0.28,,,,,7.9g/cm3500lb/ft3,7.9g/cm3500lb/ft3,21MJ/m3,21MJ/m3,170kJ/m3,170kJ/m3,27,27,29.2,42.7,0.35,0.75,0,2.5,0,2.0,0,0.040,0,0.040,24,28,0,0.5,33,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASTM Grade HH (25Cr-12Ni,J93503) Cast Stainless Steel",200,11,79,580,270,,,,,150,,310,1400,1360,480,14,17,1100,440,,20,3.7,53,180,,14,25,21,20,3.8,12,170,170,0.27,0.27,,,,,7.7g/cm3480lb/ft3,7.7g/cm3480lb/ft3,53MJ/m3,53MJ/m3,190kJ/m3,190kJ/m3,27,27,52.9,64.8,0.2,0.5,0,2.0,0,2.0,0,0.040,0,0.040,24,28,0,0.5,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASTM Grade HE (29Cr-9Ni,J93403) Cast Stainless Steel",200,10,79,670,310,,,,,160,,310,1400,1360,490,14,17,1100,450,,19,3.5,50,190,,15,25,24,22,3.6,14,190,190,0.27,0.27,,,,,7.7g/cm3480lb/ft3,7.7g/cm3480lb/ft3,56MJ/m3,56MJ/m3,240kJ/m3,240kJ/m3,29,29,53.9,65.8,0.2,0.5,0,2.0,0,2.0,0,0.040,0,0.040,26,30,0,0.5,8.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.4584 (GX2NiCrMoCu25-20-5) Cast Stainless Steel,200,34,79,500,210,,,,67,170,,300,1440,1390,460,17,15,1100,420,,31,5.7,78,200,,14,24,17,17,4.5,12,150,150,0.28,0.28,,,,,8.1g/cm3500lb/ft3,8.1g/cm3500lb/ft3,140MJ/m3,140MJ/m3,110kJ/m3,110kJ/m3,36,36,41.7,52,0,0.025,0,1.0,0,2.0,0,0.035,0,0.020,19,21,4.0,5.0,24,26,1.0,3.0,,,,,,,,,,,,,,,,,,,,,0,0.2,,,,,,,,,,,,,,,,,,,,
EN 1.4874 (GX50NiCrCo20-20-20) Cast Stainless Steel,210,6.7,80,480,360,,,,,180,,300,1450,1400,450,13,15,1150,560,,70,7.6,110,290,,14,24,16,16,3.3,11,140,140,0.29,0.29,,,,,8.4g/cm3520lb/ft3,8.4g/cm3520lb/ft3,29MJ/m3,29MJ/m3,310kJ/m3,310kJ/m3,34,34,23,38.9,0.35,0.65,0,1.0,0,2.0,0,0.040,0,0.030,19,22,2.5,3.0,18,22,,,,,,,,,,,,,,,,,,,,,0.75,1.3,,,18.5,22,2.0,3.0,,,,,,,,,,,,,,,,
ACI-ASTM CF10SMnN (J92972) Cast Stainless Steel,190,34,75,660,330,,,,,260,,340,1360,1310,500,,16,900,410,,15,3.1,45,150,,14,26,24,22,,15,190,190,0.28,0.28,,,,,7.5g/cm3470lb/ft3,7.5g/cm3470lb/ft3,180MJ/m3,180MJ/m3,280kJ/m3,280kJ/m3,19,19,59.1,65.4,0,0.1,3.5,4.5,7.0,9.0,0,0.060,0,0.030,16,18,,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0.080,0.18,,,,,,,,,,,,,,,,,,,,
ACI-ASTM CN7MS (J94650) Cast Stainless Steel,200,39,77,540,230,,,,,200,,340,1400,1350,480,12,16,1040,420,,28,5.1,71,180,,14,25,19,19,3.2,13,160,160,0.28,0.28,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,170MJ/m3,170MJ/m3,140kJ/m3,140kJ/m3,28,28,45.4,53.5,0,0.070,2.5,3.5,0,1.0,0,0.040,0,0.030,18,20,2.5,3.0,22,25,1.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.4408 (GX5CrNiMo19-11-2) Cast Stainless Steel,200,34,78,510,210,,,,67,170,,300,1440,1390,480,15,16,990,420,,18,3.7,52,150,,14,25,18,18,3.9,11,150,150,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,140MJ/m3,140MJ/m3,110kJ/m3,110kJ/m3,26,26,62.4,71,0,0.070,0,1.5,0,1.5,0,0.040,0,0.030,18,20,2.0,2.5,9.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ACI-ASTM CD3MCuN (ASTM A890 Grade 1C, J93373) Cast Stainless Steel",200,29,80,790,500,,,,,370,,300,1440,1390,480,15,13,1100,450,,20,3.9,54,180,,15,25,28,24,4.1,22,,,0.27,0.27,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,200MJ/m3,200MJ/m3,620kJ/m3,620kJ/m3,41,41,58.2,65.9,0,0.030,0,1.1,0,1.2,0,0.030,0,0.030,24,26.7,2.9,3.8,5.6,6.7,1.4,1.9,,,,,,,,,,,,,,,,,,,,,0.22,0.33,,,,,,,,,,,,,,,,,,,,
EN 1.4508 (GX2CrNiMoN19-11-3) Cast Stainless Steel,200,34,79,570,260,,,,90,210,,300,1450,1400,470,15,12,1000,420,,20,4.0,55,160,,14,25,20,19,4.1,17,,,0.28,0.28,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,160MJ/m3,160MJ/m3,170kJ/m3,170kJ/m3,32,32,61.2,69.9,0,0.030,0,1.5,0,1.5,0,0.040,0,0.030,18,20,3.0,3.5,9.0,12,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,,,,,,,,,,,,,,,,,,,,
"ACI-ASTM CE8MN (ASTM A890 Grade 2A, J93345) Cast Stainless Steel",200,29,80,750,500,,,,,370,,300,1440,1400,480,16,13,1100,440,,21,4.2,58,180,,15,25,27,23,4.2,21,,,0.27,0.27,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,190MJ/m3,190MJ/m3,620kJ/m3,620kJ/m3,40,40,56,66.4,0,0.080,0,1.5,0,1.0,0,0.040,0,0.040,22.5,25.5,3.0,4.5,8.0,11,,,,,,,,,,,,,,,,,,,,,,,0.1,0.3,,,,,,,,,,,,,,,,,,,,
EN 1.4490 (GX2CrNiMoN19-11-2) Cast Stainless Steel,200,34,78,560,260,,,,90,210,,300,1440,1390,480,15,12,990,420,,19,3.7,52,150,,14,25,20,19,4.1,16,,,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,160MJ/m3,160MJ/m3,170kJ/m3,170kJ/m3,29,29,61.7,70.9,0,0.030,0,1.5,0,2.0,0,0.035,0,0.030,18,20,2.0,2.5,9.0,12,,,,,,,,,,,,,,,,,,,,,,,0.12,0.2,,,,,,,,,,,,,,,,,,,,
"ACI-ASTM CD6MN (ASTM A890 Grade 3A, J93371) Cast Stainless Steel",200,28,80,730,510,,,,,370,,300,1440,1390,480,16,13,1100,450,,17,3.4,48,170,,15,25,26,23,4.4,20,,,0.27,0.27,,,,,7.7g/cm3480lb/ft3,7.7g/cm3480lb/ft3,180MJ/m3,180MJ/m3,650kJ/m3,650kJ/m3,36,36,62.1,70.1,0,0.060,0,1.0,0,1.0,0,0.040,0,0.040,24,27,1.8,2.5,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,,
EN 1.3955 (GX12CrNi18-11) Cast Stainless Steel,200,23,77,520,220,,,,90,150,,290,1430,1380,480,15,12,930,410,,16,3.2,45,140,,14,25,18,18,4.1,15,,,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,95MJ/m3,95MJ/m3,130kJ/m3,130kJ/m3,19,19,65.5,73.5,0,0.15,0,1.0,0,2.0,0,0.045,0,0.030,16.5,18.5,0,0.75,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.4487 (GX2CrNiN19-11) Cast Stainless Steel,200,34,77,560,260,,,,90,210,,290,1420,1380,480,16,12,960,420,,16,3.1,44,150,,14,25,20,19,4.2,16,,,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,160MJ/m3,160MJ/m3,170kJ/m3,170kJ/m3,22,22,64.7,72.9,0,0.030,0,1.5,0,1.5,0,0.040,0,0.030,18,20,,,9.0,12,,,,,,,,,,,,,,,,,,,,,,,0.12,0.2,,,,,,,,,,,,,,,,,,,,
EN 1.4469 (GX2CrNiMoN26-7-4) Cast Stainless Steel,210,25,81,740,550,,,,56,380,,300,1450,1400,480,17,13,1100,450,,21,4.1,57,180,,15,25,26,23,4.6,20,,,0.27,0.27,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,170MJ/m3,170MJ/m3,730kJ/m3,730kJ/m3,42,42,56.4,65.9,0,0.030,0,1.0,0,1.0,0,0.035,0,0.025,25,27,3.0,5.0,6.0,8.0,0,1.3,,,,,,,,,,,,,,,,,,,,,0.12,0.22,,,,,,,,,,,,,,,,,,,,
"ACI-ASTM CD4MCu (ASTM A890 Grade 1A, J93370) Cast Stainless Steel",200,18,79,770,550,,,,,340,,300,1430,1380,480,17,13,1100,450,,18,3.5,49,180,,14,25,28,24,4.5,21,,,0.27,0.27,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,130MJ/m3,130MJ/m3,760kJ/m3,760kJ/m3,32,32,59.9,66.3,0,0.040,0,1.0,0,1.0,0,0.040,0,0.040,24.5,26.5,1.8,2.3,4.8,6.0,2.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.4347 (GX4CrNiN26-7) Cast Stainless Steel,200,23,79,660,480,,,,34,320,,300,1410,1370,490,15,13,1100,450,,16,3.1,44,170,,15,25,24,22,4.0,19,,,0.27,0.27,,,,,7.7g/cm3480lb/ft3,7.7g/cm3480lb/ft3,140MJ/m3,140MJ/m3,570kJ/m3,570kJ/m3,28,28,62.2,69.4,0,0.050,0,1.5,0,1.5,0,0.035,0,0.020,25,27,,,5.5,7.5,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,,,,,,,,,,,,,,,,,,,,
EN 1.4468 (GX2CrNiMoN25-6-3) Cast Stainless Steel,200,25,80,730,550,,,,56,380,,300,1440,1400,480,17,13,1100,450,,19,3.8,53,180,,15,25,26,23,4.6,20,,,0.27,0.27,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,170MJ/m3,170MJ/m3,730kJ/m3,730kJ/m3,38,38,59.7,67.4,0,0.030,0,1.0,0,2.0,0,0.035,0,0.025,24.5,26.5,2.5,3.5,5.5,7.0,,,,,,,,,,,,,,,,,,,,,,,0.12,0.25,,,,,,,,,,,,,,,,,,,,
EN 1.4823 (GX40CrNiSi27-4) Cast Stainless Steel,200,3.4,79,620,290,,,,,130,,320,1400,1360,490,17,13,1100,450,,16,3.0,43,170,,15,26,23,21,4.5,17,,,0.27,0.27,,,,,7.6g/cm3470lb/ft3,7.6g/cm3470lb/ft3,17MJ/m3,17MJ/m3,200kJ/m3,200kJ/m3,27,27,60.9,70.7,0.3,0.5,1.0,2.5,0,1.5,0,0.040,0,0.030,25,28,0,0.5,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.4515 (GX3CrNiMoCuN26-6-3) Cast Stainless Steel,200,25,80,730,550,,,,67,380,,300,1440,1390,480,16,13,1100,450,,19,3.8,53,180,,15,25,26,23,4.3,20,,,0.27,0.27,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,170MJ/m3,170MJ/m3,730kJ/m3,730kJ/m3,38,38,58.4,66.6,0,0.030,0,1.0,0,2.0,0,0.030,0,0.020,24.5,26.5,2.5,3.5,5.5,7.0,0.8,1.3,,,,,,,,,,,,,,,,,,,,,0.12,0.25,,,,,,,,,,,,,,,,,,,,
EN 1.4474 (GX4CrNiMoN26-5-2) Cast Stainless Steel,200,23,80,670,480,,,,34,320,,300,1430,1390,480,17,13,1100,450,,17,3.4,48,170,,15,25,24,22,4.6,18,,,0.27,0.27,,,,,7.7g/cm3480lb/ft3,7.7g/cm3480lb/ft3,140MJ/m3,140MJ/m3,560kJ/m3,560kJ/m3,34,34,61.2,69.1,0,0.050,0,1.0,0,2.0,0,0.035,0,0.025,25,27,1.3,2.0,4.5,6.5,,,,,,,,,,,,,,,,,,,,,,,0.12,0.2,,,,,,,,,,,,,,,,,,,,
"ACI-ASTM CD3MN (ASTM A890 Grade 4A, J92205) Cast Stainless Steel",200,29,79,710,460,,,,,340,,300,1450,1400,480,16,13,1060,430,,18,3.6,50,160,,14,25,25,23,4.3,20,,,0.27,0.27,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,180MJ/m3,180MJ/m3,530kJ/m3,530kJ/m3,35,35,62.6,71.9,0,0.030,0,1.0,0,1.5,0,0.040,0,0.020,21,23.5,2.5,3.5,4.5,6.5,0,1.0,,,,,,,,,,,,,,,,,,,,,0.1,0.3,,,,,,,,,,,,,,,,,,,,
EN 1.4417 (GX2CrNiMoN25-7-3) Cast Stainless Steel,200,25,81,730,550,,,,56,380,,300,1450,1410,470,17,13,1100,450,,21,4.1,57,180,,15,25,26,23,4.6,20,,,0.27,0.27,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,170MJ/m3,170MJ/m3,730kJ/m3,730kJ/m3,41,41,56.7,66.9,0,0.030,0,1.0,0,1.5,0,0.030,0,0.020,24,26,3.0,4.0,6.0,8.5,0,1.0,,,,,,,,,,,,,,,,,,,,,0.15,0.25,,,0,1.0,,,,,,,,,,,,,,,,
EN 1.4517 (GX2CrNiMoCuN25-6-3-3) Cast Stainless Steel,200,25,79,730,550,,,,56,380,,300,1430,1390,480,17,13,1100,450,,20,3.8,53,180,,14,25,26,23,4.6,20,,,0.27,0.27,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,170MJ/m3,170MJ/m3,740kJ/m3,740kJ/m3,38,38,56.7,65.1,0,0.030,0,1.0,0,1.5,0,0.035,0,0.025,24.5,26.5,2.5,3.5,5.0,7.0,2.8,3.5,,,,,,,,,,,,,,,,,,,,,0.12,0.22,,,,,,,,,,,,,,,,,,,,
EN 1.3960 (Gx2CrNiMoN18-140) Cast Stainless Steel,200,34,78,590,270,,,,90,220,,290,1440,1400,470,15,12,970,410,,21,4.1,57,160,,14,25,21,20,3.9,17,,,0.28,0.28,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,170MJ/m3,170MJ/m3,190kJ/m3,190kJ/m3,30,30,60.2,67.9,0,0.030,0,1.0,0,2.0,0,0.035,0,0.020,16.5,18.5,2.5,3.0,13,15,,,,,,,,,,,,,,,,,,,,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,,
